             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             95170 slurm_hpc   run.sh   cdroin PD       0:00      1 (Resources)
             95171 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95172 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95173 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95174 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95175 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95176 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95177 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95178 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95179 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95180 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95181 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95182 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95183 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95184 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95185 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95186 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95187 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95188 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95189 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95190 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95191 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95192 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95193 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95194 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95195 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95196 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95197 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95198 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95199 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95200 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95201 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95202 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95203 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95204 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95205 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95206 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95207 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95208 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95209 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95210 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95211 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95212 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95213 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95214 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95215 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95216 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95217 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95218 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95219 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95220 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95221 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95222 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95223 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95224 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95225 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95226 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95227 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95228 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95229 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95230 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95231 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95232 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95233 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95234 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95235 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95236 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95237 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95238 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95239 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95240 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95241 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95242 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95243 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95244 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
