             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            168754 slurmHPC_  test.sh marianam CG       0:20      1 hpc-200-06-05
            168753 slurmHPC_   hipace marianam CG       0:20      8 hpc-200-06-[16-18,20-24]
            162065 slurm_hpc slurm_jo pkicsiny PD       0:00      1 (Priority)
            168315 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168316 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168317 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168318 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168319 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168320 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168321 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168322 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168323 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168324 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168325 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168326 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168327 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168328 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168329 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168330 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168331 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168332 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168333 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168334 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168335 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168336 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168337 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168338 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168339 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168340 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168341 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168342 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168343 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168344 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168345 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168346 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168347 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168348 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168349 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168350 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168351 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168352 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168353 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168354 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168355 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168356 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168357 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168358 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168359 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168360 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168361 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168362 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168363 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168364 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168365 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168366 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168367 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168368 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168369 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168370 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168371 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168372 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168373 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168374 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168375 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168376 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168377 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168378 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168379 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168380 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168381 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168382 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168383 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168384 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168385 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168386 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168387 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168388 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168389 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168390 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168391 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168392 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168393 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168394 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168395 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168396 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168397 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168398 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168399 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168400 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168401 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168402 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168403 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168404 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168405 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168406 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168407 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168408 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168409 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168410 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168411 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168412 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168413 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168414 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168415 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168416 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168417 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168418 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168419 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168420 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168421 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168422 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168423 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168424 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168425 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168426 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168427 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168428 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168429 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168430 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168431 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168432 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168433 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168434 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168435 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168436 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168437 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168438 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
