             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            160401 slurm_hpc   run.sh   cdroin PD       0:00      1 (Resources)
            160402 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160403 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160404 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160405 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160406 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160407 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160408 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160409 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160410 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160411 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160412 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160413 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160414 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160415 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160416 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160417 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160418 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160419 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160420 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160421 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160422 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160423 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160424 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160425 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160426 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160427 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160428 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
